fecha,sexo,num_casos
2020-08-25,M,560
2020-08-26,H,574
2020-08-26,M,609
2020-08-27,H,527
2020-08-27,M,508
2020-08-28,H,526
2020-08-28,M,522
2020-08-29,H,204
2020-08-29,M,172
2020-08-30,H,164
2020-08-30,M,170
2020-08-31,H,413
2020-08-31,M,500
2020-09-01,H,538
2020-09-01,M,556
2020-09-02,H,436
2020-09-02,M,477
2020-09-03,H,448
2020-09-03,M,524
2020-09-04,H,515
2020-09-04,M,631
2020-09-05,H,208
2020-09-05,M,218
2020-09-06,H,167
2020-09-06,M,163
2020-09-07,H,416
2020-09-07,M,398
2020-09-08,H,473
2020-09-08,M,491
2020-09-09,H,440
2020-09-09,M,508
2020-09-10,H,521
2020-09-10,M,543
2020-09-11,H,187
2020-09-11,M,200
2020-09-12,H,181
2020-09-12,M,191
2020-09-13,H,150
2020-09-13,M,136
2020-09-14,H,416
2020-09-14,M,414
2020-09-15,H,553
2020-09-15,M,632
2020-09-16,H,530
2020-09-16,M,581
2020-09-17,H,491
2020-09-17,M,501
2020-09-18,H,551
2020-09-18,M,606
2020-09-19,H,219
2020-09-19,M,202
2020-09-20,H,184
2020-09-20,M,164
2020-09-21,H,460
2020-09-21,M,523
2020-09-22,H,470
2020-09-22,M,568
2020-09-23,H,540
2020-09-23,M,544
2020-09-24,H,293
2020-09-24,M,299
2020-09-25,H,461
2020-09-25,M,527
2020-09-26,H,210
2020-09-26,M,217
2020-09-27,H,147
2020-09-27,M,122
2020-09-28,H,460
2020-09-28,M,486
2020-09-29,H,539
2020-09-29,M,606
2020-09-30,H,550
2020-09-30,M,593
2020-10-01,H,572
2020-10-01,M,639
2020-10-02,H,598
2020-10-02,M,688
2020-10-03,H,291
2020-10-03,M,305
2020-10-04,H,208
2020-10-04,M,225
2020-10-05,H,632
2020-10-05,M,633
2020-10-06,H,794
2020-10-06,M,819
2020-10-07,H,739
2020-10-07,M,828
2020-10-08,H,948
2020-10-08,M,1034
2020-10-09,H,1079
2020-10-09,M,1140
2020-10-10,H,422
2020-10-10,M,416
2020-10-11,H,336
2020-10-11,M,423
2020-10-12,H,403
2020-10-12,M,340
2020-10-13,H,1169
2020-10-13,M,1153
2020-10-14,H,1301
2020-10-14,M,1422
2020-10-15,H,1357
2020-10-15,M,1611
2020-10-16,H,1457
2020-10-16,M,1504
2020-10-17,H,669
2020-10-17,M,730
2020-10-18,H,560
2020-10-18,M,553
2020-10-19,H,1448
2020-10-19,M,1531
2020-10-20,H,2059
2020-10-20,M,2234
2020-10-21,H,2103
