fecha,sexo,num_casos
2020-08-16,M,243
2020-08-17,H,583
2020-08-17,M,593
2020-08-18,H,1622
2020-08-18,M,1745
2020-08-19,H,1495
2020-08-19,M,1670
2020-08-20,H,1409
2020-08-20,M,1579
2020-08-21,H,2067
2020-08-21,M,2254
2020-08-22,H,536
2020-08-22,M,618
2020-08-23,H,378
2020-08-23,M,335
2020-08-24,H,677
2020-08-24,M,694
2020-08-25,H,1912
2020-08-25,M,2066
2020-08-26,H,1679
2020-08-26,M,1733
2020-08-27,H,1556
2020-08-27,M,1848
2020-08-28,H,2090
2020-08-28,M,2471
2020-08-29,H,506
2020-08-29,M,576
2020-08-30,H,465
2020-08-30,M,458
2020-08-31,H,748
2020-08-31,M,710
2020-09-01,H,1974
2020-09-01,M,2218
2020-09-02,H,1875
2020-09-02,M,1963
2020-09-03,H,1775
2020-09-03,M,1992
2020-09-04,H,2485
2020-09-04,M,2765
2020-09-05,H,855
2020-09-05,M,867
2020-09-06,H,543
2020-09-06,M,539
2020-09-07,H,943
2020-09-07,M,1001
2020-09-08,H,2486
2020-09-08,M,2715
2020-09-09,H,2466
2020-09-09,M,2668
2020-09-10,H,2316
2020-09-10,M,2527
2020-09-11,H,3096
2020-09-11,M,3578
2020-09-12,H,1050
2020-09-12,M,1120
2020-09-13,H,742
2020-09-13,M,798
2020-09-14,H,1313
2020-09-14,M,1302
2020-09-15,H,3067
2020-09-15,M,3390
2020-09-16,H,2778
2020-09-16,M,3104
2020-09-17,H,2677
2020-09-17,M,3074
2020-09-18,H,3522
2020-09-18,M,4229
2020-09-19,H,913
2020-09-19,M,951
2020-09-20,H,587
2020-09-20,M,636
2020-09-21,H,1144
2020-09-21,M,1181
2020-09-22,H,2540
2020-09-22,M,2953
2020-09-23,H,2359
2020-09-23,M,2692
2020-09-24,H,2205
2020-09-24,M,2502
2020-09-25,H,2677
2020-09-25,M,3102
2020-09-26,H,720
2020-09-26,M,789
2020-09-27,H,463
2020-09-27,M,522
2020-09-28,H,953
2020-09-28,M,1010
2020-09-29,H,2104
2020-09-29,M,2526
2020-09-30,H,1803
2020-09-30,M,2008
2020-10-01,H,1534
2020-10-01,M,1785
2020-10-02,H,1867
2020-10-02,M,2258
2020-10-03,H,540
2020-10-03,M,565
2020-10-04,H,300
2020-10-04,M,258
2020-10-05,H,1125
2020-10-05,M,1225
2020-10-06,H,1648
2020-10-06,M,1797
2020-10-07,H,1447
2020-10-07,M,1649
2020-10-08,H,1429
2020-10-08,M,1613
2020-10-09,H,1535
2020-10-09,M,1801
2020-10-10,H,411
2020-10-10,M,412
2020-10-11,H,298
2020-10-11,M,362
2020-10-12,H,335
2020-10-12,M,320
2020-10-13,H,1382
2020-10-13,M,1553
2020-10-14,H,1454
2020-10-14,M,1693
2020-10-15,H,1330
2020-10-15,M,1507
2020-10-16,H,1475
2020-10-16,M,1676
2020-10-17,H,317
2020-10-17,M,408
2020-10-18,H,258
2020-10-18,M,284
2020-10-19,H,1143
2020-10-19,M,1415
2020-10-20,H,1387
2020-10-20,M,1493
2020-10-21,H,1282
2020-10-21,M,1506
2020-10-22,H,1134
2020-10-22,M,1335
2020-10-23,H,1320
2020-10-23,M,1529
2020-10-24,H,306
2020-10-24,M,350
2020-10-25,H,270
2020-10-25,M,252
2020-10-26,H,1131
2020-10-26,M,1261
2020-10-27,H,1264
2020-10-27,M,1481
2020-10-28,H,1117
2020-10-28,M,1265
2020-10-29,H,1104
2020-10-29,M,1187
2020-10-30,H,1263
2020-10-30,M,1403
2020-10-31,H,303
2020-10-31,M,323
2020-11-01,H,286
2020-11-01,M,245
2020-11-02,H,269
2020-11-02,M,282
2020-11-03,H,1228
2020-11-03,M,1319
2020-11-04,H,1201
2020-11-04,M,1515
2020-11-05,H,1094
2020-11-05,M,1177
2020-11-06,H,1197
2020-11-06,M,1295
2020-11-07,H,318
2020-11-07,M,322
2020-11-08,H,262
2020-11-08,M,230
2020-11-09,H,560
2020-11-09,M,615
2020-11-10,H,993
2020-11-10,M,1156
2020-11-11,H,938
2020-11-11,M,1061
2020-11-12,H,891
2020-11-12,M,1052
2020-11-13,H,962
2020-11-13,M,1119
2020-11-14,H,218
2020-11-14,M,225
2020-11-15,H,171
2020-11-15,M,173
2020-11-16,H,752
2020-11-16,M,838
2020-11-17,H,866
2020-11-17,M,1000
2020-11-18,H,755
2020-11-18,M,874
2020-11-19,H,676
2020-11-19,M,719
2020-11-20,H,836
2020-11-20,M,869
2020-11-21,H,205
2020-11-21,M,203
2020-11-22,H,143
2020-11-22,M,148
2020-11-23,H,611
2020-11-23,M,698
2020-11-24,H,710
2020-11-24,M,825
2020-11-25,H,677
2020-11-25,M,730
2020-11-26,H,615
2020-11-26,M,666
2020-11-27,H,777
2020-11-27,M,893
